product_title,product_variant_title,quantity_sold
BREAST CANCER AWARENESS COLLECTION ,“Save the Boobies” / Big Bow,0
BREAST CANCER AWARENESS COLLECTION ,Cheetah Ribbons / Little Bow,0
BREAST CANCER AWARENESS COLLECTION ,Variety of Pink Ribbons / Big Bow,0
BREAST CANCER AWARENESS COLLECTION ,Variety of Pink Ribbons / Little Bow,1
BREAST CANCER AWARENESS COLLECTION ,“Save the Boobies” / Little Bow,1
BREAST CANCER AWARENESS COLLECTION ,Watercolor Ribbons / Mini Bow,0
BREAST CANCER AWARENESS COLLECTION ,Variety of Pink Ribbons / Mini Bow,0
BREAST CANCER AWARENESS COLLECTION ,Cheetah Ribbons / Piggie Set (2 Mini Bows),0
BREAST CANCER AWARENESS COLLECTION ,Cheetah Ribbons / Big Bow,0
BRIGHT CHRISTMAS PLAID,PIGGIE SET (2 MINI BOWS),0
BRIGHT CHRISTMAS PLAID,LITTLE BOW,0
BRIGHT CHRISTMAS PLAID,BIG BOW,0
BRIGHT FLORAL,BIG BOW,0
BRIGHT FLORAL,LITTLE BOW,0
BRIGHT SUNFLOWERS,BIG BOW,0
BRIGHT SUNFLOWERS,LITTLE BOW,0
BUFFALO PLAID ANIMALS,LITTLE BOW,0
BUFFALO PLAID ANIMALS,BIG BOW,0
BUFFALO PLAID BRUSH STROKES,PIGGIE SET (2 MINI BOWS),0
BUFFALO PLAID BRUSH STROKES,BIG BOW,0
BUFFALO PLAID BRUSH STROKES,LITTLE BOW,0
BUNDLE HOCUS POCUS,"Can’t Sit With Us KID/TODDLER BIG BOW BUNDLE / Grey Shirt, White Shirt",0
BURGUNDY FLORAL,LITTLE BOW,0
BURGUNDY FLORAL,BIG BOW,0
BURLAP BUFFALO PLAID,LITTLE BOW,0
BURLAP BUFFALO PLAID,PIGGIE SET (2 MINI BOWS),0
BURLAP BUFFALO PLAID,BIG BOW,0
BURLAP CHRISTMAS WORDS,PIGGIE SET (2 MINI BOWS),0
BURLAP CHRISTMAS WORDS,LITTLE BOW,0
BURLAP CHRISTMAS WORDS,BIG BOW,0
Baby Pink,Little Bow,2
Baby Pink,Piggie Set (2 Mini Bows),3
Baby Pink,Mini Bow,2
